index,name,activity,celebrity_indice,phone_number,web_site,adresse
1,SOCIETE DES ENTREPRISES PRESTIGE COTE D'IVOIRE,Entreprise de construction,"4,7 (3)",+225 09543888,N/A,"8XWQ+8PQ, abidjan cote d'ivoire"
2,Itqane Group Abidjan Treichville,Entreprise de construction,"5,0 (1)",N/A,http://itqane.com/,18 Bp 670 Abidjan 18
3,Entreprise Baron,Entreprise de construction,"4,2 (5)",+225 07 89 16 1610,http://www.entreprisebaron.com/,Faya
4,QORNUS ENTREPRISES,Siège social,"3,8 (5)",+225 27 21 3 93945,N/A,"KOUMASSI NORD EST, RUE L101"
5,ALD ENTREPRISE,Entreprise de construction,"4,1 (7)",+225 22443499,http://ald-entreprise.ci/,25 BP 1628 25
6,Maylys BTP,Entreprise de construction,"4,9 (7)",+225 22428803,N/A,"92J7+R34, Angré"
7,Tipocer,Entreprise de construction,N/A N/A,https://www.google.com/maps/place/Tipocer/data=!4m7!3m6!1s0xfc1eb7a2556e845:0x32c4f02b424332a!8m2!3d5.3599517!4d-4.0082563!16s%2Fg%2F11q330016v!19sChIJRehWJXrrwQ8RKjMktAJPLAM?authuser=0&hl=fr&rclk=1,N/A,"Immeuble YAKOUBA MERCKIER Lot 7013 Ilot 166 Section TX, Parcelle 383"
8,SND GROUP,,N/A N/A,+225 01 01 99 0173,http://snd-group.ci/,11 BP 2338
9,S. N. SUD CONSTRUCTION,Entreprise de construction,"4,3 (20)",+225 07 58 74 9880,http://sudconstruction.business.site/,Marcory zone 4 rue Clément Ader
10,GROUPE MERCIER ENTREPRISES,Constructeur immobilier,N/A N/A,+225 25 22 0 19971,N/A,"20, 20 BP 758 ABIDJAN"
11,Africa BEST,Entreprise de construction,"5,0 (1)",+225 07 07 00 7674,https://www.africabest.net/,"Non loin de la polyclinique des 2 Plateaux, Tour B 2 Plateau SOCOCE, K 22"
12,SBTTc holding,Entreprise de construction,N/A N/A,https://www.google.com/maps/place/SBTTc+holding/data=!4m7!3m6!1s0xfc1efc43079a9ad:0x8c4161bf29c5edeb!8m2!3d5.2675017!4d-3.9849461!16s%2Fg%2F11mb0rsbnc!19sChIJral5MMTvwQ8R6-3FKb9hQYw?authuser=0&hl=fr&rclk=1,N/A,"7298+223, rue des, Rue Maraîcher"
13,Romeo,Entreprise de construction,N/A N/A,https://www.google.com/maps/place/Romeo/data=!4m7!3m6!1s0xfc1eb105dc6a2f9:0x2b82ea64bd10f5bc!8m2!3d5.3599517!4d-4.0082563!16s%2Fg%2F11sd5kf4y9!19sChIJ-aLGXRDrwQ8RvPUQvWTqgis?authuser=0&hl=fr&rclk=1,N/A,9X5R+XMQ
14,Africa entreprises,Hébergement,N/A N/A,+225 59302928,N/A,"9X5R+WG4, Unnamed Road"
