index,name,activity,celebrity_indice,ic,phone_number,web_site,adresse,town
1,Cabinet dentaire Richarlayne,Cabinet dentaire,"4,2 (92)",386,60 91 18 18,N/A,,Cotonou
2,CABINET DENTAIRE MALOCONI ST JOSEPH,Cabinet dentaire,"4,1 (15)",61,95 95 15 20,N/A,,Cotonou
3,Cabinet Dentaire Djossou,Cabinet dentaire,"4,3 (13)",56,95 91 15 15,N/A,,Cotonou
4,"Cabinet dentaire ""Les Cocotiers""",Cabinet dentaire,"4,0 (7)",28,97 98 32 36,N/A,"lot 1423, 01 B.P. 6236",Cotonou
5,Cabinet dentaire les 3M,Cabinet dentaire,"5,0 (4)",20,96 32 74 85,N/A,"9CC7+HQP, Rue 218",Cotonou
6,Cabinet Dentaire De L'Avenue Jean Paul 2,Dentiste,"3,6 (7)",25,94 15 05 88,https://maraboutavohounhoueze.blogspot.com/?m=1,"993X+FGX, Rte De L'Aéroport",Cotonou
7,Cabinet Dentaire Françoicisca,Dentiste,"5,0 (1)",5,97 47 54 21,N/A,03 BP 4042,Cotonou
8,Cabinet Dentaire Salem,Dentiste,"4,5 (4)",18,95 95 68 48,https://cabinetdentairesalem.com/,Akpakpa Sodjatimè,Cotonou
9,CABINET DENTAIRE DIAMOND,Cabinet dentaire,"4,0 (2)",8,94 44 61 61,https://monmedenligne.com/medical/profile/cabinet-dentaire-diamond-19,bar la congolaise,Cotonou
10,Cabinet Dentaire Adeoty,Cabinet dentaire,"4,7 (3)",14,66 97 52 01,N/A,"99QH+H54, Rue 2863",Cotonou
11,Cabinet Dentaire Smile,Dentiste,"4,2 (14)",59,94 53 44 44,N/A,94 53 44 44,Cotonou
12,Cabinet Dentaire KPONON,Cabinet dentaire,N/A N/A,0,97 25 12 72,N/A,lot 653,Cotonou
13,Cabinet Dentaire Arc-En-Ciel,Service de la santé au travail,N/A N/A,0,97 14 40 20,N/A,"Rue des Cours Gama G36, 366 F",Cotonou
14,Cabinet Dentaire Le Sacré Coeur,Dentiste,N/A N/A,0,90 90 55 85,N/A,"Maison Agbo Hilaire, Lot 490",Cotonou
15,Cabinet dentaire Abolorê,Cabinet dentaire,N/A N/A,0,N/A,N/A,995V+2VF,Cotonou
16,Cabinet dentaire Pk3,Cabinet dentaire,N/A N/A,0,21 33 21 05,N/A,9FC7+8M5,Cotonou
17,CENTRE DENTAIRE ET DE PIEDIATRIE 3M,Médecin,"4,5 (2)",9,96 32 74 85,N/A,"9CC7+GPG, Ave de la Victoire",Cotonou
18,Cabinet Dentaire Kponon,Dentiste,N/A N/A,0,97 25 12 72,N/A,97 25 12 72,Cotonou
19,Cabinet Dentaire St Innocent,Cabinet dentaire,"4,5 (2)",9,97 60 09 87,N/A,"03 BP 4062 Jericho, Cotonou",Cotonou
20,Le Bar à Sourire,Institut de beauté,"3,3 (3)",10,95 28 61 13,https://www.facebook.com/lebarasourire/,"986W+HR7, Rue 382",Cotonou
21,Smile with Sham,Dentiste cosmétique,"4,8 (27)",130,57 08 31 33,N/A,57 08 31 33,Cotonou
22,"Cabinet Dentaire ""La Tendresse""",Cabinet dentaire,"5,0 (1)",5,97 25 83 30,N/A,9G8Q+52,Cotonou
23,Polyclinique les cocotiers,Administration,N/A N/A,0,N/A,N/A,99FX+5F6,Cotonou
24,Clinique Medico-Chirugicale et d'Accouchements Les Grâces,Clinique,"3,5 (20)",70,21 32 11 71,N/A,,Cotonou
25,"pk6, lot tokplegbe",Cabinet dentaire,N/A N/A,0,N/A,N/A,9C5Q+GX3,Cotonou
