index,name,activity,celebrity_indice,phone_number,web_site,adresse
1,Cabinet Médical Docteur Aline,Médecin du travail,"5,0 (10)",97 47 83 88,https://www.docteuraline.fr/,"VONS NSIA BANQUE Bénin - après feux tricolores carrefour Missebo Avenue Monseigneur STEI\METZ. - Cotonou, Rue du Dahomey (Rue 111)"
2,DR AKIM,Médecin,N/A N/A,97 47 99 88,N/A,9C43+FM7
3,Clinique pédiatrique LES CHRYSALIDES,Pédiatre,"5,0 (5)",56 05 25 65,N/A,F9P4+J9P
4,Centre Médical La Providence,Hôpital,"5,0 (7)",21 30 21 30,https://mondermatologueetmoi.com/,21 30 21 30
5,Cabinet médical du Docteur ADRA,Gastro-entérologue,N/A N/A,98 53 79 23,N/A,01Bp543 Tel:98537923
6,Clinique Boni,Clinique,"1,8 (4)",60 31 31 31,N/A,"9F83+83C, Rue 1200"
7,Centre Medical Apithy,Centre médical,"4,7 (3)",https://www.google.com/maps/place/Centre+Medical+Apithy/data=!4m7!3m6!1s0x102355caf009d2a3:0x45ba30499b155e20!8m2!3d6.3559457!4d2.4162234!16s%2Fg%2F11h__x0prb!19sChIJo9IJ8MpVIxARIF4Vm0kwukU?authuser=0&hl=fr&rclk=1,N/A,"9C48+9FH, Rue 900 IA"
8,Mahouna Hôpital,Hôpital,"3,6 (22)",21 30 14 35,N/A,"9C42+8VH, Rue 395"
9,Cabinet ORL du Stade MK,Centre de santé communautaire,"4,3 (12)",97 19 94 04,N/A,"Rue 2864, lot 2069"
10,Clinique Houeyiho,Hôpital,"4,3 (8)",97 22 07 08,N/A,97 22 07 08
11,"Clinique Ophtalmologique ""La Lumière""",Hôpital,"3,8 (12)",21 31 04 45,http://www.clin-ophta-lalumiere.com/,Rue du Gouverneur Fourn
12,Clinique Coopérative de Sikècodji,Clinique,N/A N/A,21 32 28 54,N/A,"9C99+RWQ, Rue 407"
13,Benoit Afrique Audition BENIN,Magasin d'appareils auditifs,"3,8 (5)",61 89 52 42,http://www.benoit-afrique-audition.com/fr/,Rue 514
14,Clinique Patte d'oie,Hôpital,"4,5 (6)",95 99 99 99,N/A,95 99 99 99
15,CNHU - HKM (Centre National Hospitalier Universitaire Hubert Koutoukou MAGA),Hôpital,"3,6 (70)",21 30 06 56,N/A,21 30 06 56
