index,name,activity,celebrity_indice,phone_number,web_site,adresse
1,Accès Canada Benin,Avocat en droit de l'immigration,"3,8 (81)",21 32 11 00,http://www.accescanada.com/,"C/590, Boulevard Saint Michel"
2,Kafui & Partners Benin,Avocat,"5,0 (40)",97 90 82 33,https://www.kafuipartners.com/,Cité Houeyiho Rue face SBEE Houeyiho
3,Cabinet d’avocats YABIT Armel Timothée,Avocat,"4,9 (7)",96 15 13 44,https://avocatyabit.bj/,9C54+WV4
4,Société Civile Professionnelle d’Avocats - GAMA,Avocat,"4,7 (7)",69 00 09 99,https://www.gama-avocatsafrique.com/,Rue en face de la clinique Aupiais C/756 Parcelle F Cadjehoun 2
5,Le Cabinet D'avocats ANGELO HOUNKPATIN,Avocat généraliste,"5,0 (14)",21 32 17 11,N/A,"Rue No. 208 Parcelle ""C"" Sikecodji 01 BP 2753"
6,CABINET D'AVOCATS GUY LAMBERT YEKPE,Cabinet d'avocats,"4,0 (4)",62 00 36 88,N/A,Rue des Dako Donou
7,Cabinet Robert M. DOSSOU,Cabinet d'avocats,"3,8 (4)",21 31 44 11,http://www.cabinetrobertdossou.com/a-propos-du-cabinet/article/contacts,Boulevard Steinmetz
8,Hélène Paty Law Firm,Cabinet d'avocats,"5,0 (5)",95 62 78 33,https://paty.legal/,"Lot 472, Porte 2177"
9,Cabinet d'Avocat BALOGOUN,Services juridiques,"5,0 (2)",67 16 63 24,N/A,71 Ave de Roi Guezo
10,Cabinet Maître MAGLOIRE YANSUNU,Avocat,N/A N/A,https://www.google.com/maps/place/Cabinet+Ma%C3%AEtre+MAGLOIRE+YANSUNU/data=!4m7!3m6!1s0x102355e0fcdfd513:0xb9049cd09b5e408d!8m2!3d6.3619098!4d2.4454092!16s%2Fg%2F11v0xzcgd7!19sChIJE9Xf_OBVIxARjUBem9CcBLk?authuser=0&hl=fr&rclk=1,N/A,"Akpakpa, Carré N° 3"
11,Cabinet d'avocat Maître Akoha,Cabinet d'avocats,N/A N/A,https://www.google.com/maps/place/Cabinet+d%27avocat+Ma%C3%AEtre+Akoha/data=!4m7!3m6!1s0x103caba848061863:0x30901c80d7c30004!8m2!3d6.3764435!4d2.4633274!16s%2Fg%2F11v0y8s1cy!19sChIJYxgGSKirPBARBADD14AckDA?authuser=0&hl=fr&rclk=1,N/A,9FG7+H8G
12,Cabinet T.S. Brice Zinzindohoue,Cabinet d'avocats,"4,7 (3)",97 01 33 34,N/A,97 01 33 34
13,Cabinet d'avocat du Maitre Charles BADOU,Siège social,"3,4 (13)",21 32 69 32,N/A,"9CG6+MG4, Rue 145A"
14,Cabinet d’avocats Élie N VLAVONOU KPONOU,Avocat,"4,5 (2)",21 32 61 68,N/A,9CF3+MG
15,SCPA HK,Avocat,"4,3 (3)",62 41 20 29,http://www.scpahk.com/,62 41 20 29
