index,name,activity,celebrity_indice,phone_number,web_site,adresse
1,Bibliothèque Les Milles Feuilles,Bibliothèque,N/A N/A,https://www.google.com/maps/place/Biblioth%C3%A8que+Les+Milles+Feuilles/data=!4m7!3m6!1s0x102355cdd3adedcb:0x8041220ce4d3bb54!8m2!3d6.3786683!4d2.4472165!16s%2Fg%2F11s0xcb3zm!19sChIJy-2t081VIxARVLvT5AwiQYA?authuser=0&hl=fr&rclk=1,N/A,9CHW+CV
2,Muswada,Bibliothèque,"4,5 (4)",97 50 19 58,https://www.muswada.com/,06 Bp : 3853 Cotonou
3,The Magical Tree,Bibliothèque pour enfants,N/A N/A,94 67 05 59,N/A,9F68+MP7
4,La Mini-Bibliothèque Jean Pliya,Bibliothèque,"4,0 (3)",https://www.google.com/maps/place/La+Mini-Biblioth%C3%A8que+Jean+Pliya/data=!4m7!3m6!1s0x102355ab44b2bc59:0x39d93147b18d3ca9!8m2!3d6.3604948!4d2.4165523!16s%2Fg%2F1ptxtcqdp!19sChIJWbyyRKtVIxARqTyNsUcx2Tk?authuser=0&hl=fr&rclk=1,N/A,Fondation Zinsou
5,BIBLIOTHÈQUE BÉNIN EXCELLENCE FSS,Bibliothèque,"3,0 (2)",https://www.google.com/maps/place/BIBLIOTH%C3%88QUE+B%C3%89NIN+EXCELLENCE+FSS/data=!4m7!3m6!1s0x102355cc8e9c3a9b:0xe7563ad1052cc33c!8m2!3d6.3556716!4d2.4078675!16s%2Fg%2F11spn1ds2m!19sChIJmzqcjsxVIxARPMMsBdE6Vuc?authuser=0&hl=fr&rclk=1,N/A,"9C45+749, Rue 900"
6,Bibliothèque des pères jesuites de godomey,Bibliothèque,"3,9 (8)",https://www.google.com/maps/place/Biblioth%C3%A8que+des+p%C3%A8res+jesuites+de+godomey/data=!4m7!3m6!1s0x102357b4e943f6a5:0x182824f5163aa4eb!8m2!3d6.383425!4d2.3416413!16s%2Fg%2F11j99rr8q3!19sChIJpfZD6bRXIxAR66Q6FvUkKBg?authuser=0&hl=fr&rclk=1,N/A,"98MR+9MC, Unnamed Road"
7,Centre de Documentation et d'Information Juridique de la Cour d'appel De Cotonou,Bibliothèque de droit,"4,1 (15)",52 18 97 47,http://www.legis.cdij.bj/,"9C34+57X, Ave Jean-Paul II"
8,Sopah service,Bibliothèque,N/A N/A,61 37 02 48,N/A,9C35+5WV
9,Bibliothèque Scolaire de l'école La Paix de Dieu,Bibliothèque pour enfants,"5,0 (1)",97 57 82 83,N/A,9953+6GX
10,Lons.shop,Bibliothèque,N/A N/A,64 43 48 56,https://lons.shop/,"99HQ+H7C, Cotonou, République du Bénin, Vedoko, von funai, immeuble MTN"
11,BAMBOO NUMERIK,Bibliothèque,"3,9 (160)",51 67 66 25,http://facebook.com/bamboonumerik,51 67 66 25
12,Digital Academic Records,Bibliothèque,N/A N/A,67 29 20 08,https://diacre.live/,99327
13,Direction de la Formations et des Sports,Bibliothèque universitaire,N/A N/A,58 37 05 03,N/A,N/A
14,Librairie Notre Dame,Librairie,"4,0 (474)",21 31 40 94,N/A,"9C4Q+MQG, Ave Clozel"
15,BOOKCONEKT,Bibliothèque,"4,7 (204)",66 99 59 48,http://www.bookconekt.com/,9934+M7
16,"La "" Mini-Bibliothèque Enrico Navarra "" de la Fondation Zinsou",Bibliothèque,"2,8 (4)",N/A,http://fondationzinsou.org/,9C9V+355
