index,name,activity,celebrity_indice,phone_number,web_site,adresse
1,Bijouterie le DIAMONO,Bijouterie,"3,3 (7)",97 84 40 22,N/A,03BP3792
2,Bijouterie SOWAZENA,Bijouterie,"4,0 (1)",91 80 42 35,N/A,"Marché Dantokpa, Hangar bijoux, boutique C51, C52, Rue 704"
3,Only store,Bijouterie fantaisie,N/A N/A,97 15 78 36,N/A,02BP243 Cotonou
4,La maison des bijoux,Bijoutier,"4,8 (320)",64 50 28 49,N/A,"la maison des bijoux est à sikekodji derrière la place bicentenaire, Cotonou Rue 410"
5,LES ÉTOILES D'OR,Bijouterie,"5,0 (1)",96 09 45 08,N/A,9CMH+982
6,Black and Gold,Bijouterie,"5,0 (2)",67 06 31 39,N/A,BP1708
7,bijouterie la maison des bijoux authentiques,Bijouterie,"4,9 (124)",64 50 28 49,N/A,Ave de la Victoire
8,Lylliwax et accessoires,Vendeur de bijoux en gros,N/A N/A,67 92 28 86,N/A,236
9,BIJOUTERIE LE PARADIS CHEZ GAFARI,Bijouterie,"4,3 (3)",97 29 55 90,N/A,9C94+4CM
10,Maridiath Store,Vendeur de bijoux en gros,"5,0 (1)",67 39 08 03,N/A,"noin de la pharmacie Saint Raphaël, Akpakpa"
11,Mille Facettes de Thyaa,Bijouterie,N/A N/A,97 63 75 88,N/A,229
12,Bijouterie,Bijouterie,N/A N/A,https://www.google.com/maps/place/Bijouterie/data=!4m7!3m6!1s0x102355beaa20b335:0xe92d3899e06b5bf8!8m2!3d6.3672979!4d2.4130345!16s%2Fg%2F11t3f47yt4!19sChIJNbMgqr5VIxAR-Ftr4Jk4Lek?authuser=0&hl=fr&rclk=1,N/A,"9C87+W6F, Rue 612B"
13,Nolbijoux,Bijouterie,"4,0 (7)",66 28 82 61,N/A,9C73+2FQ
14,"Noreol Bijoux Benin (accessoires mariages, baptemes, communions)",Bijouterie,"4,9 (11)",62 23 97 97,N/A,62 23 97 97
15,Bijouterie Lingot d'Or,Bijouterie,"4,5 (19)",98 58 94 85,N/A,"Sainte rita 100 mètre avant le feu de la station total en quittant gbèdjromèdé 774, Rue 150"
16,Bijouterie GUISSE DIAMANTAIRE,Bijouterie,"5,0 (3)",52 20 88 88,N/A,52 20 88 88
17,Le Kitaï,Bijouterie,N/A N/A,94 02 10 99,N/A,"9C5P+PH9, Rue 105"
18,Chic Créa,Bijouterie,"4,6 (9)",66 12 25 47,N/A,Rue 880
19,BIJOUTERIE AMOUR D'OR,Bijouterie,"4,6 (14)",61 31 14 21,N/A,99R8+R2
20,Luxe'OR,Bijouterie,"5,0 (2)",50 12 54 99,N/A,768
21,Boulevard des perles,Bijouterie,"1,0 (1)",96 27 65 14,N/A,06 BP 127
22,CBD bijoux,Bijouterie fantaisie,N/A N/A,58 70 52 17,N/A,N/A
23,Amiota Luxe,Bijouterie,N/A N/A,67 45 43 15,N/A,67 45 43 15
24,Chic boucles d'oreilles,Bijouterie fantaisie,N/A N/A,58 70 52 17,N/A,N/A
25,Luxury by kad,Bijouterie,"5,0 (1)",99 77 12 77,N/A,0000
