index,name,activity,celebrity_indice,phone_number,web_site,adresse
1,Top Clean +,Blanchisserie,"4,5 (84)",96 86 69 36,N/A,Rue 2102
2,PRESSING NELSON MANDELA & NELSON MANDELA CAR'S By K.P.A,Blanchisserie,"3,5 (2)",67 17 70 17,N/A,9C8W+7J7
3,Royal pressing,Blanchisserie,"4,0 (2)",94 33 55 83,https://royal-pressing-laundry.business.site/?utm_source=gmb&utm_medium=referral,94 33 55 83
4,Pressing St Michel,Service de blanchisserie,"3,6 (13)",https://www.google.com/maps/place/Pressing+St+Michel/data=!4m7!3m6!1s0x10235503e187db3d:0x31fa9c33f6524a03!8m2!3d6.3637971!4d2.4260099!16s%2Fg%2F11c53b5lgs!19sChIJPduH4QNVIxARA0pS9jOc-jE?authuser=0&hl=fr&rclk=1,N/A,9C7G+GC6
5,LAVERIE GÉNÉRALE,Pressing,"4,5 (4)",55 15 11 11,N/A,9CMX+2CM
6,O'clean Pressing,Pressing,"3,7 (9)",61 95 45 16,N/A,"994W+M5G, Piste Amalco"
7,IzyWash,Pressing,"4,0 (5)",60 60 20 80,N/A,229
8,PINECREST LAUNDRY AND DRYCLEANING COMPANY,Service de blanchisserie,"3,0 (1)",90 23 00 24,N/A,17 Rue 1305
9,Pinecrest laundry and dry cleaning services,Service de blanchisserie,"5,0 (1)",https://www.google.com/maps/place/Pinecrest+laundry+and+dry+cleaning+services/data=!4m7!3m6!1s0x103cab85c5e5b97d:0x25d50052c9806177!8m2!3d6.3734817!4d2.4667848!16s%2Fg%2F11jy2ggdmw!19sChIJfbnlxYWrPBARd2GAyVIA1SU?authuser=0&hl=fr&rclk=1,N/A,"9FF8+9PV, Suru-Léré Padme"
10,Pressing les merveilles,Blanchisserie,N/A N/A,97 89 59 44,N/A,"9CMW+PVF, Rue 1451"
11,Pressing L'Océan,Pressing,N/A N/A,97 19 83 00,N/A,9FH3+55W
12,CLEANMASTERS,Pressing,"4,0 (3)",97 11 41 21,N/A,"9CG5+M98, Rue 148"
13,LEADER PRESSING,Blanchisserie,N/A N/A,https://www.google.com/maps/place/LEADER+PRESSING/data=!4m7!3m6!1s0x103cab8083f35369:0xa436374f2406ca66!8m2!3d6.3781146!4d2.4622353!16s%2Fg%2F11rnszh83h!19sChIJaVPzg4CrPBARZsoGJE83NqQ?authuser=0&hl=fr&rclk=1,N/A,"C.E.G Suru-Léré, 360 Sénade1 en face du"
14,OffClean Services & Conseils,Pressing,"5,0 (1)",61 82 50 08,https://www.facebook.com/OffClean,61 82 50 08
15,Beauté du linge,Pressing,"5,0 (1)",96 14 18 56,N/A,Akpakpa
16,Couturière À la maison,Service de blanchisserie,"5,0 (1)",https://www.google.com/maps/place/Couturi%C3%A8re+%C3%80+la+maison/data=!4m7!3m6!1s0x102355ab9a767807:0xd5563548d76c6eab!8m2!3d6.3628766!4d2.4282622!16s%2Fg%2F11rkj49v9n!19sChIJB3h2mqtVIxARq25s10g1VtU?authuser=0&hl=fr&rclk=1,N/A,9C7H+582
17,NICKEL CLEAN,Blanchisserie,N/A N/A,https://www.google.com/maps/place/NICKEL+CLEAN/data=!4m7!3m6!1s0x10235545a074fefd:0x97d9bf46f2e314c8!8m2!3d6.382076!4d2.4467605!16s%2Fg%2F11ry9ch6c2!19sChIJ_f50oEVVIxARyBTj8ka_2Zc?authuser=0&hl=fr&rclk=1,N/A,"9CJW+RPJ, Rue 1451"
18,IMMACULÉE PRESSING,Service de blanchisserie,"1,0 (2)",https://www.google.com/maps/place/IMMACUL%C3%89E+PRESSING/data=!4m7!3m6!1s0x10235548c2e9662f:0xf9e7aa15c705d68f!8m2!3d6.3671575!4d2.3924127!16s%2Fg%2F11r8g4g_g6!19sChIJL2bpwkhVIxARj9YFxxWq5_k?authuser=0&hl=fr&rclk=1,N/A,998R+VX7
19,ELOHIM ET FILS SERVICES,Pressing,N/A N/A,95 27 47 80,N/A,Akpakpa
20,Ets AZAGOUN,Pressing,N/A N/A,56 69 92 50,N/A,PK3 Synapostel
21,Pressing Impéccable,Service de blanchisserie,N/A N/A,97 18 29 18,N/A,01 B.P. 4546
22,Hysope Pressing et Blanchisserie,Blanchisserie,"4,7 (3)",95 42 50 18,https://www.facebook.com/hysopepb/,01bp3871
