index,name,activity,celebrity_indice,phone_number,web_site,adresse
1,Der Chef Boulangerie Pâtisserie,Boulangerie,"4,2 (15)",https://www.google.com/maps/place/Der+Chef+Boulangerie+P%C3%A2tisserie/data=!4m7!3m6!1s0x10235538ef94d597:0xd1f9142c9a0b9646!8m2!3d6.3645552!4d2.4466435!16s%2Fg%2F11pxwhnx0z!19sChIJl9WU7zhVIxARRpYLmiwU-dE?authuser=0&hl=fr&rclk=1,N/A,N/A
2,CITRONNELLE JAK / PATISSERIE BOULANGERIE,Pâtisseries,"5,0 (3)",https://www.google.com/maps/place/CITRONNELLE+JAK+%2F+PATISSERIE+BOULANGERIE/data=!4m7!3m6!1s0x1023556d892694b3:0x898b9a797d2ba7db!8m2!3d6.362833!4d2.4569248!16s%2Fg%2F11j0285j3b!19sChIJs5QmiW1VIxAR26crfXmai4k?authuser=0&hl=fr&rclk=1,N/A,"9F74+4QM, Rue 1682B"
3,Boulangerie-Pâtisserie la Vallée,Boulangerie,"3,8 (179)",https://www.google.com/maps/place/Boulangerie-P%C3%A2tisserie+la+Vall%C3%A9e/data=!4m7!3m6!1s0x1023568d8e12c267:0xdd04a5ec821f7c79!8m2!3d6.3496605!4d2.3647398!16s%2Fg%2F11c1r37sr3!19sChIJZ8ISjo1WIxAReXwfguylBN0?authuser=0&hl=fr&rclk=1,N/A,08BP115
4,La Boulangerie Pâtisserie du LU,Boulangerie,"4,5 (19)",https://www.google.com/maps/place/La+Boulangerie+P%C3%A2tisserie+du+LU/data=!4m7!3m6!1s0x1023579fa8a3aeef:0xf16854b7d0def0d3!8m2!3d6.3575235!4d2.3673633!16s%2Fg%2F11pyc6my3c!19sChIJ766jqJ9XIxAR0_De0LdUaPE?authuser=0&hl=fr&rclk=1,N/A,00229
5,Le Café Gourmand,Boulangerie,"4,1 (69)",https://www.google.com/maps/place/Le+Caf%C3%A9+Gourmand/data=!4m7!3m6!1s0x102357e2f9f2754b:0xc3fcb1e573d05580!8m2!3d6.3491689!4d2.3800809!16s%2Fg%2F11lm2jx090!19sChIJS3Xy-eJXIxARgFXQc-Wx_MM?authuser=0&hl=fr&rclk=1,N/A,"6.349471, 2.380468"
6,Boulangerie Pâtisserie Marie Denise,Boulangerie,"4,1 (57)",https://www.google.com/maps/place/Boulangerie+P%C3%A2tisserie+Marie+Denise/data=!4m7!3m6!1s0x1023555987d1ef6f:0xa53280731b908ae7!8m2!3d6.3899232!4d2.4008344!16s%2Fg%2F11fd6dw30j!19sChIJb-_Rh1lVIxAR54qQG3OAMqU?authuser=0&hl=fr&rclk=1,N/A,9CQ2+X88
7,Boulangerie Au Jardin Du Pain De Yagbé,Boulangerie,"4,0 (9)",https://www.google.com/maps/place/Boulangerie+Au+Jardin+Du+Pain+De+Yagb%C3%A9/data=!4m7!3m6!1s0x103caacec8ed24af:0x413bf51a5ff29999!8m2!3d6.3743265!4d2.4669001!16s%2Fg%2F11hbgq6scg!19sChIJryTtyM6qPBARmZnyXxr1O0E?authuser=0&hl=fr&rclk=1,N/A,9FF8+PQJ
8,Le mille feuille,Boulangerie,"4,0 (1)",https://www.google.com/maps/place/Le+mille+feuille/data=!4m7!3m6!1s0x1023550d8961c1c3:0xf55c2d53292d249f!8m2!3d6.3682662!4d2.4422836!16s%2Fg%2F11qswt655l!19sChIJw8FhiQ1VIxARnyQtKVMtXPU?authuser=0&hl=fr&rclk=1,N/A,"9C9R+8W3, Rue 1403"
9,Le Pain Doré,Boulangerie,"3,9 (68)",https://www.google.com/maps/place/Le+Pain+Dor%C3%A9/data=!4m7!3m6!1s0x102355eddf3de90d:0x50338e89953aa6e3!8m2!3d6.3842124!4d2.4471578!16s%2Fg%2F11h4n9q4ms!19sChIJDek93-1VIxAR46Y6lYmOM1A?authuser=0&hl=fr&rclk=1,N/A,"9CMW+MVM, Rue 1451"
10,Boulangerie La Ronde des Pains,Boulangerie,"3,8 (6)",https://www.google.com/maps/place/Boulangerie+La+Ronde+des+Pains/data=!4m7!3m6!1s0x10235516715658c5:0x922cf43663c9eab4!8m2!3d6.3784403!4d2.4416028!16s%2Fg%2F11h937qkkq!19sChIJxVhWcRZVIxARtOrJYzb0LJI?authuser=0&hl=fr&rclk=1,N/A,"9CHR+9JH, Rue Bel Air"
