index,name,activity,celebrity_indice,ic,phone_number,web_site,adresse
1,REPERA,Entreprise de construction,N/A N/A,0,97 98 07 67,N/A,01BP579
2,Direction LGI,Entreprise de construction,N/A N/A,0,N/A,N/A,"9C9J+H28, Rue 502"
3,GBEXO-BTP,Entreprise de construction,N/A N/A,0,95 95 35 56,N/A,9CFH+HFJ
4,L'Africain des Matériaux de Construction (AMC),Entreprise de construction,N/A N/A,0,63 05 24 24,https://lafricaine-des-materiaux-de-construction.business.site/?utm_source=gmb&utm_medium=referral,Jéricho
5,Objectif Construction Bénin,Entreprise de construction,"4,7 (3)",14.1,N/A,N/A,994X+75R
6,BUREAU DE VALKO ENERGIES,Entreprise de construction,N/A N/A,0,N/A,N/A,"9C8H+VH8, immeuble Adjibi"
7,Delta Construction,Entreprise de construction,"3,7 (7)",25.9,N/A,N/A,N/A
8,Groupe VICTOIRE-BTP,Entreprise de construction,"5,0 (1)",5.0,67 00 77 40,N/A,67 00 77 40
9,OBJECTIF CONSTRUCTION AGENCE DU BENIN,Entreprise de construction,N/A N/A,0,61 47 32 56,N/A,Rue 147
10,DUNAMIS PARTENAIRES EN CONSTRUCTION (DUN.PA.C),Entreprise de construction,N/A N/A,0,98 15 56 41,N/A,05 BP 1385
11,KSG sarl,Entreprise de construction,N/A N/A,0,97 49 69 49,N/A,"9C6M+562, Rue 110"
12,Dyjesck S.A.,Entreprise de construction,"3,9 (28)",109.2,N/A,N/A,"9CGV+9FX, Rue 1612A"
13,BACID BÉNIN ( Bureau Africain de Construction d'Investissement et Divers),Entreprise de construction,N/A N/A,0,97 17 38 15,http://www.bacid.com/,97 17 38 15
14,Les 2 A Construction Plus,Entreprise de construction,N/A N/A,0,97 03 36 66,N/A,Akpakpa
15,Akasi,Entreprise de construction,N/A N/A,0,94 58 39 99,N/A,N/A
16,FRANZETTI BENIN,Entreprise de construction,N/A N/A,0,N/A,N/A,9F74+35P
17,Groupe Cobhir,Entreprise de construction,N/A N/A,0,97 98 74 79,N/A,C/765
18,CK-MOND SARL,Entreprise de construction,N/A N/A,0,67 61 63 63,N/A,Pont Martin Luther King
19,SOGEI,Entreprise de construction,N/A N/A,0,N/A,N/A,9FJ5+5X8
20,Angèle Aba Services Cotonou,Entreprise de construction,N/A N/A,0,69 94 41 16,N/A,04BP 365 Lomé 04
21,Jan De Nul Bénin S.A.,Entreprise de construction,"5,0 (1)",5.0,N/A,N/A,8CV3+X49
22,Kamy global sarl,Entreprise de construction,N/A N/A,0,N/A,http://kamyglobalsarl.com/,9C8F+X8X
23,Base Centrale ITb,Entreprise de construction,N/A N/A,0,N/A,N/A,"9CC5+HWV Etoile rouge, Ave de la Victoire"
24,GAMA GROUPE SARL,Entreprise de construction,N/A N/A,0,N/A,N/A,99CR+4F9
25,Ofmas projet,Entreprise de construction,N/A N/A,0,N/A,N/A,9CHX+HVR
26,KEN-DAL ET FILS,Entreprise de construction,N/A N/A,0,97 18 11 35,https://www.kendal.bj/,447 rue Giz
27,Base techniques,Entreprise de construction,N/A N/A,0,N/A,N/A,"9F99+V5Q, Rue 1713"
28,Arabian Construction Company Benin SAS,Entreprise de construction,"5,0 (1)",5.0,N/A,N/A,"992Q+RQ3, Rue 364"
29,Le Rocher Bénin,Entreprise de construction,"3,0 (1)",3.0,97 80 63 63,N/A,Rue 118
30,MASIC-BTP,Entreprise de construction,"4,3 (6)",25.8,20 21 47 90,N/A,"99RH+CQW, Rue 2864"
31,Cabinet Topo star,Entreprise de construction,"4,5 (2)",9.0,N/A,N/A,06 BP 3807
32,CORISERVICES PLUS,Entreprise de construction,N/A N/A,0,69 86 31 25,N/A,9F82+JJJ
33,So cosmetica Africa-Nature Brique-Eco build,Entreprise de construction,N/A N/A,0,97 19 94 08,N/A,97 19 94 08
34,Mj Building,Entreprise de construction,N/A N/A,0,97 03 61 60,N/A,06 Bp 1295
35,AFRI-TRAVAUX TP Sarl,Entreprise de construction,"3,5 (4)",14.0,N/A,https://afri-travaux-tp-sarl.business.site/?utm_source=gmb&utm_medium=referral,99MJ+CCX
36,Nobel Services Sarl,Entreprise de construction,N/A N/A,0,66 95 47 45,N/A,Quartier Gbatemey
37,Power Group BTP,Entreprise de construction,"5,0 (1)",5.0,61 18 36 36,https://power-group-btp.business.site/?utm_source=gmb&utm_medium=referral,04BP243 Cotonou/Benin
38,i-CONCEPT,Entreprise de construction,"4,0 (1)",4.0,N/A,N/A,99FR+F2Q
39,Sté GROUPE D'AFRIQUE BTP,Entreprise de construction,"3,8 (15)",57.0,97 05 45 06,N/A,06BP2261
40,SOMAYAF,Entreprise de construction,N/A N/A,0,N/A,N/A,9C65+WCX
41,Sogea Satom Bénin,Entreprise de construction,"4,3 (139)",597.7,21 33 00 94,N/A,Rue 1890
42,TP AFRIQUE,Entreprise de construction,"5,0 (2)",10.0,67 67 12 60,N/A,"99QR+7J9, Rue 2612"
43,"SIG BTP, Infrastructures, Équipements, Énergie",Entreprise de construction,"5,0 (1)",5.0,N/A,N/A,C/ 1147
44,AHSTON INTERNATIONAL GROUPE,Entreprise de construction,"5,0 (1)",5.0,97 49 09 75,N/A,Unnamed Road
45,AFRIC CONQUET SARL,Entreprise de construction,"4,0 (1)",4.0,91 18 18 46,N/A,JNP
46,Groupement ASEMI,Entreprise de construction,"4,7 (12)",56.4,68 68 37 37,http://asemi-benin.com/,"9CF7+QQM, Rue 222"
47,GCBN SARL,Entreprise de construction,N/A N/A,0,N/A,N/A,995C+4RG
48,BENCOMA,Entreprise de construction,N/A N/A,0,N/A,N/A,99C7+CGH
49,VBS Sarl,Entreprise de construction,N/A N/A,0,96 30 27 78,N/A,07BP15
50,Atelier de dessin,Entreprise de construction,N/A N/A,0,N/A,N/A,9FC4+HR6
51,KADJIV SARL,Entreprise de construction,"5,0 (3)",15.0,61 79 47 96,N/A,9FF9+6M4
52,SATOM,Entreprise de construction,"4,0 (1)",4.0,N/A,N/A,"992F+M68, Rue 2100"
53,RECA-BENIN,Entreprise de construction,N/A N/A,0,97 01 90 32,https://reca-benin.business.site/?utm_source=gmb&utm_medium=referral,"99CR+4F9, 2.043"
54,LORDEON INTERNATIONALE,Entreprise de construction,N/A N/A,0,N/A,N/A,98MC+76
55,RMT,Entreprise de construction,"4,2 (15)",63.0,21 33 59 34,N/A,"9F64+R26, Rue 1753"
56,K2 ARCHITECTES INTERNATIONAL,Entreprise de construction,N/A N/A,0,95 15 70 49,https://k2-architectes-international.com/,"9CF9+H5M, Rue 218"
57,ENGINEERING CORPORATE,Entreprise de construction,N/A N/A,0,95 48 00 49,N/A,996W+XMP
58,Metal Construction Du Benin,Entreprise de construction,N/A N/A,0,90 91 92 67,N/A,01 Bp 7149
59,A Home In Africa,Entreprise de construction,N/A N/A,0,97 23 21 69,N/A,carre 47 Sekandji
60,Akhir Btp,Entreprise de construction,N/A N/A,0,96 20 49 35,N/A,Qtier Zogbadje
61,Ets Ecni,Entreprise de construction,N/A N/A,0,97 81 21 29,N/A,Qtier Akoussite Ville Ouake
62,Global Business Sarl,Entreprise de construction,N/A N/A,0,97 69 86 10,N/A,N/A
63,Cabinet de Génie Civil et d'Architecture Millennium BC,Entreprise de construction,"4,5 (2)",9.0,97 06 04 19,N/A,99V7+2W5
64,JH Concept,Entreprise de génie civil,N/A N/A,0,94 49 59 49,N/A,08 BP 427
65,Entreprise MDS-GC,Entreprise de construction,"5,0 (1)",5.0,N/A,N/A,"98Q7+FV8, Lobozounkpa Godomey"
66,Ofex-group,Entreprise de construction,"4,8 (4)",19.2,96 59 23 76,N/A,Rue 2172A
67,GTP Sarl,Entreprise de construction,N/A N/A,0,N/A,N/A,99RF+7C9
68,Maison worou un,Entreprise de construction,N/A N/A,0,N/A,N/A,"99CR+4F9, BP 248"
69,Services industriels au Bénin,Entreprise de construction,N/A N/A,0,96 32 67 68,N/A,99F4+FXP
70,BEST INGÉNIEURS CONSEIL,Entreprise de construction,N/A N/A,0,21 31 34 84,N/A,"9C4C+CWP, Rue 246"
71,GOELERS SOLUTIONS,Entreprise de construction,"5,0 (5)",25.0,56 46 06 71,https://www.goelersolutions.com/,Rue 813
72,SETEC BENIN,Entreprise de construction,"3,0 (1)",3.0,N/A,N/A,98RR+RRV
73,GROUPE DEC SA,Société de travaux publics,"3,7 (35)",129.5,94 14 50 50,N/A,"C/215 - 01 BP 4794, Rue 1609"
74,JUPITER BTP SARL,Entreprise de génie civil,N/A N/A,0,97 69 79 66,N/A,02 BP 575
75,stettcbtp,,N/A N/A,0,N/A,N/A,00229
76,BLACKSTONE CONSTRUCTION GROUP,Société de travaux publics,N/A N/A,0,97 69 84 55,N/A,"06 BP 2626 COTONOU, C/434 KPONDEHOU MAISON ADJIBI"
77,TRUSTECH ENGINEERING SERVICES .LTD,Metal construction company,N/A N/A,0,61 90 79 60,http://trustechengneering.com/,"LOT 216 ADJEGOUNLE MIDONBO, AKPAKPA. COTONOU"
78,BRIC Group Africa,Entreprise de construction,"4,0 (1)",4.0,60 41 27 83,https://bric-btp.business.site/?utm_source=gmb&utm_medium=referral,60 41 27 83
79,RABBOUNI Services,Constructeur immobilier,N/A N/A,0,97 74 34 27,N/A,06BP9038
80,GROUPE MEGA LABEL,Entreprise de construction,"4,8 (4)",19.2,N/A,N/A,"99RP+G57, Rue 2662"
81,DUNAMIS PARTENAIRES EN CONSTRUCTION,Constructeur immobilier,N/A N/A,0,N/A,N/A,9CHV+VW8
82,SERENGETI,Constructeur immobilier,N/A N/A,0,60 38 74 40,N/A,229
83,YADAH Group,Entreprise de construction,N/A N/A,0,N/A,N/A,N/A
84,BOUYGUES BATIMENT BENIN - SIEGE,Entreprise de construction,"4,6 (8)",36.8,98 52 05 05,https://www.bouygues-construction.com/groupe/filiales/bouygues-batiment-international,993R+CMJ
85,Les Olives Kev BTP _ Construction & Rénovation de Routes et Bâtiments,Société de travaux publics,"5,0 (1)",5.0,96 29 68 20,N/A,96296820
86,Resomarbre Bénin,Entreprise de construction,"3,0 (1)",3.0,99 99 36 36,N/A,9CF4+7XP
87,Arh Services,Entreprise de construction,N/A N/A,0,91 24 96 15,N/A,Qtier
88,Renovation | Conception & Construction Bâtiments Durable- CAPEAUX,Entreprise de construction,"5,0 (1)",5.0,+233 54 593 2676,https://capeaux.com/fr/acceuil/,Rue 2936
89,CAGIT IMMOBILIER,Entreprise de construction,N/A N/A,0,N/A,N/A,"98GX+HMQ, Agla Figaro"
90,mbille tech,Entreprise de construction,"5,0 (4)",20.0,68 00 02 95,N/A,01BP670
91,ESCOMBENIN - SOCIÉTÉ DE GÉNIE CIVIL ET DE CONSTRUCTION MÉTALLIQUE,Société de travaux publics,"4,7 (6)",28.2,97 68 64 36,https://www.escombenin.com/,"face Bar Haute Tension, 98PQ+CX Godomey"
92,WISLE-Inter Partners,Société de travaux publics,N/A N/A,0,54 05 44 85,N/A,99CR+4F9
93,STRACOL BENIN,Constructeur de structures en béton,N/A N/A,0,66 56 94 16,N/A,Maison YADJEMI
94,BERNH CONSTRUCTION,Constructeur immobilier,N/A N/A,0,69 82 33 33,https://bernh-construction.business.site/?utm_source=gmb&utm_medium=referral,c/ 1541
95,Dynamiqs enterprise,Constructeur immobilier,N/A N/A,0,66 86 65 65,N/A,Guinkomey immeuble agueh lot 78
96,ETS ISSERE,Société de travaux publics,N/A N/A,0,69 49 57 00,N/A,"C/10 Akpakpa, Rue 1215"
97,HOPE BTP,Société de travaux publics,"4,9 (7)",34.3,97 01 63 51,N/A,04BP801
98,FREE BTP,Constructeur immobilier,"4,4 (5)",22.0,66 01 74 78,N/A,03BP2818 C 1020 B Aidjedo gbego
99,Team Pro Services,Constructeur immobilier,N/A N/A,0,N/A,N/A,99CR+4F9
100,MASSIF DYNAMIQ,Constructeur immobilier,N/A N/A,0,62 46 11 11,N/A,01BP 7370
101,PNHG Filiale Bénin,Entreprise de construction,"4,4 (42)",184.8,97 76 16 88,http://www.pn-bn.com/,"Parcelle A Lot 1151, Maison AFFOGBOLO Idelphonse Quartier"
102,UP BÂTIMENTS TRAVAUX LOGISTIQUES,Constructeur immobilier,N/A N/A,0,N/A,N/A,"Lot 1226, Rue 667"
103,VOGE INTERNATIONAL,Société de travaux publics,N/A N/A,0,97 22 75 71,N/A,"Sancak Mah. 552 Sk, Kalmis Apt. No; 10/B Cankaya/Ankara Ankara, Turquie"
104,DGTP,Constructeur immobilier,N/A N/A,0,N/A,N/A,"C/SB, Cotonou, quartier zongo. Ilot: 252-253"
105,GROUPE TOUT VA BIEN,Société de travaux publics,N/A N/A,0,61 18 18 18,N/A,"HOUEYIHO, Ilot 1559-I Cotonou"
106,VOLTA UNITED Sarl,Société de travaux publics,N/A N/A,0,54 64 64 46,N/A,BP 800 ABOMEY-CALAVI
107,ÉLECTOUS ET ÉLÉGANCE MEUBLE,Entreprise de construction,N/A N/A,0,96 32 96 73,N/A,Bénin akpakpa
108,Ets la Synthèse// immobilier,Constructeur immobilier,N/A N/A,0,94 05 42 41,N/A,Fidjrosse calvaire dans la von de SBEE prodestin95@gmail.com
109,AGIRE SARL,Société de travaux publics,"4,6 (15)",69.0,97 84 40 18,N/A,01BP:5010
110,K G A,Constructeur immobilier,N/A N/A,0,97 21 56 28,N/A,97 21 56 28
111,SOROUBAT - BENIN,Société de travaux publics,"4,3 (35)",150.5,21 30 48 33,N/A,992R+P9Q
112,HNRB Benin,Société de travaux publics,"4,4 (13)",57.2,N/A,N/A,9CH3+MC5
113,Civic engineering,Entreprise de génie civil,N/A N/A,0,54 12 86 71,N/A,N/A
114,AMSG _ AMS GROUP SARL,Société de travaux publics,"5,0 (1)",5.0,98 55 00 01,N/A,"Carré 1992 ""m"" maison Dégboé, quartier Zogbohouè, 9è arrondissement"
115,SÈHO-TECHNOLOGIE-VISION,,N/A N/A,0,67 72 03 11,N/A,sehotechnologie2021@gmail.com
116,Vitrerie miroiterie aluminium de EtsJAVMS,Entreprise de construction,N/A N/A,0,96 00 11 05,N/A,"995C+3H9, Unnamed Road"
117,GIS ET FILS,Société de travaux publics,N/A N/A,0,53 07 57 98,https://gis-et-fils.business.site/?utm_source=gmb&utm_medium=referral,"Îlot 1709,parcelle D"
118,BETIGA Sarl,Société de travaux publics,N/A N/A,0,69 49 30 33,https://betiga-sarl.business.site/?utm_source=gmb&utm_medium=referral,299 rue 7.028 Bar tito 01 BP: 3112 Porto-Novo
119,SYD Group,Constructeur immobilier,N/A N/A,0,N/A,N/A,99RQ+WJ2
120,Ets Socirad,Entreprise de génie civil,N/A N/A,0,97 87 67 83,N/A,03 Bp 865
