index,name,activity,celebrity_indice,ic,phone_number,web_site,adresse,town,transition
1,Bistrot City Lyon Part Dieu,Restaurant,"4,5 (40)",180,+33 4 26 04 17 40,appartcity.com,,Lyon,https://www.google.com/maps/place/Bistrot+City+Lyon+Part+Dieu/data=!4m7!3m6!1s0x47f4ebfe3090bd7d:0x597cfd705a7cff07!8m2!3d45.7528605!4d4.8597908!16s%2Fg%2F11h320fpt3!19sChIJfb2QMP7r9EcRB_98WnD9fFk?authuser=0&hl=fr&rclk=1
2,‍ 👨‍🍳 L'Étage - Restaurant Gastronomique Lyon,Française,"4,8 (473)",2270,+33 4 78 28 19 59,letage-restaurant.com,,Lyon,https://www.google.com/maps/place/%E2%80%8D+%F0%9F%91%A8%E2%80%8D%F0%9F%8D%B3+L%27%C3%89tage+-+Restaurant+Gastronomique+Lyon/data=!4m7!3m6!1s0x47f4eafe922459b1:0x7ea115e4f282106b!8m2!3d45.7678074!4d4.8336357!16s%2Fg%2F1v_nbw1_!19sChIJsVkkkv7q9EcRaxCC8uQVoX4?authuser=0&hl=fr&rclk=1
3,Le Neuvième Art - Restaurant Gastronomique Lyon,Restaurant,"4,8 (743)",3566,+33 4 72 74 12 74,leneuviemeart.com,,Lyon,https://www.google.com/maps/place/Le+Neuvi%C3%A8me+Art+-+Restaurant+Gastronomique+Lyon/data=!4m7!3m6!1s0x47f5b33be65798cd:0x8ac44e3b5cbf85ef!8m2!3d45.7679844!4d4.8563522!16s%2Fg%2F11ckvl_2tp!19sChIJzZhX5juz9UcR74W_XDtOxIo?authuser=0&hl=fr&rclk=1
4,Café Luna,Française,"4,8 (506)",2429,+33 4 72 16 77 42,N/A,,Lyon,https://www.google.com/maps/place/Caf%C3%A9+Luna/data=!4m7!3m6!1s0x47f4ebac882758d9:0xb99140b7abbf5c5d!8m2!3d45.7587123!4d4.825864!16s%2Fg%2F1vbnnrd9!19sChIJ2VgniKzr9EcRXVy_q7dAkbk?authuser=0&hl=fr&rclk=1
5,Carmelo,Italienne,"4,8 (22 615)",108552,+33 4 81 69 47 26,bigmammagroup.com,,Lyon,https://www.google.com/maps/place/Carmelo/data=!4m7!3m6!1s0x47f4eb87e91f866d:0x9629fabb993eb66!8m2!3d45.7653129!4d4.8349721!16s%2Fg%2F11fsbbxv6y!19sChIJbYYf6Yfr9EcRZuuTuaufYgk?authuser=0&hl=fr&rclk=1
6,Agastache Restaurant Lyon,Française,"4,9 (675)",3308,+33 4 78 52 30 31,agastache-restaurant-lyon.fr,,Lyon,https://www.google.com/maps/place/Agastache+Restaurant+Lyon/data=!4m7!3m6!1s0x47f4eaf4467d1ce5:0xa38df96063266adf!8m2!3d45.7664172!4d4.8476368!16s%2Fg%2F11ckkyst2l!19sChIJ5Rx9RvTq9EcR32omY2D5jaM?authuser=0&hl=fr&rclk=1
7,ART Restaurant Lyon,Française,"4,8 (718)",3446,+33 9 51 54 79 68,art-restaurant.fr,,Lyon,https://www.google.com/maps/place/ART+Restaurant+Lyon/data=!4m7!3m6!1s0x47f4ebfd755b3e3b:0xbe4da45e638b7e8!8m2!3d45.7567929!4d4.8273723!16s%2Fg%2F11ryr5mrf9!19sChIJOz5bdf3r9EcR6Lc45kXa5As?authuser=0&hl=fr&rclk=1
8,Restaurant le Gourmet de Séze,Cuisine gastronomique,"4,7 (596)",2801,+33 4 78 24 23 42,legourmetdeseze.com,,Lyon,https://www.google.com/maps/place/Restaurant+le+Gourmet+de+S%C3%A9ze/data=!4m7!3m6!1s0x47f4ea8c3f3ffa4b:0x8b55a1c207ae2529!8m2!3d45.7691348!4d4.8556097!16s%2Fg%2F1tvyl36f!19sChIJS_o_P4zq9EcRKSWuB8KhVYs?authuser=0&hl=fr&rclk=1
9,Les Saveurs du Bistrot,Restaurant,"4,8 (787)",3778,+33 4 37 24 14 25,lessaveursdubistrot.fr,,Lyon,https://www.google.com/maps/place/Les+Saveurs+du+Bistrot/data=!4m7!3m6!1s0x47f4ea8c3c00a9cd:0x27a5e21dd72fe25a!8m2!3d45.7692089!4d4.8561815!16s%2Fg%2F11bwkq8_8l!19sChIJzakAPIzq9EcRWuIv1x3ipSc?authuser=0&hl=fr&rclk=1
10,L'Institut Restaurant,Gastronomie française,"4,8 (1 442)",6922,+33 4 28 31 69 06,linstitut-restaurant.fr,,Lyon,https://www.google.com/maps/place/L%27Institut+Restaurant/data=!4m7!3m6!1s0x47f4ea522ed8c1b1:0xa73ff95f30ca763b!8m2!3d45.7563917!4d4.8332514!16s%2Fg%2F11b5pkn7__!19sChIJscHYLlLq9EcRO3bKMF_5P6c?authuser=0&hl=fr&rclk=1
