index,name,activity,celebrity_indice,ic,phone_number,web_site,adresse,town,transition
1,Eiffel Croisières - Péniche Ivoire - Croisière bistronomique,Restaurant,"4,6 (3 073)",14136,+33 1 56 89 88 98,eiffelcroisieres.com,,Paris,https://www.google.com/maps/place/Eiffel+Croisi%C3%A8res+-+P%C3%A9niche+Ivoire+-+Croisi%C3%A8re+bistronomique/data=!4m7!3m6!1s0x47e66f8fe8ec729b:0x955d4d50560a9c81!8m2!3d48.8631795!4d2.3125032!16s%2Fg%2F11q2s55cp3!19sChIJm3Ls6I9v5kcRgZwKVlBNXZU?authuser=0&hl=fr&rclk=1
2,FOODRE,Restaurant,"4,8 (95)",456,+33 1 45 58 52 86,foodre.fr,,Paris,https://www.google.com/maps/place/FOODRE/data=!4m7!3m6!1s0x47e671c42c20c42b:0x73c96bff12a7c4e!8m2!3d48.8298173!4d2.2751939!16s%2Fg%2F11rgccg1bs!19sChIJK8QgLMRx5kcRTnwq8b-WPAc?authuser=0&hl=fr&rclk=1
3,To Restaurant Paris,Cuisine française moderne,"4,4 (2 748)",12091,+33 1 40 37 39 12,to-restaurant.com,,Paris,https://www.google.com/maps/place/To+Restaurant+Paris/data=!4m7!3m6!1s0x47e66fbf77bf3879:0x5c98bdcea603dee7!8m2!3d48.8714419!4d2.3644847!16s%2Fg%2F11hgfz515c!19sChIJeTi_d79v5kcR594Dps69mFw?authuser=0&hl=fr&rclk=1
4,Au Bistrot de la Montagne,Française,"4,3 (447)",1922,+33 1 46 33 56 63,bistrotlamontagne.com,,Paris,https://www.google.com/maps/place/Au+Bistrot+de+la+Montagne/data=!4m7!3m6!1s0x47e671e66f7bbeed:0xb1743d34a22b6539!8m2!3d48.847914!4d2.348417!16s%2Fg%2F1td719jt!19sChIJ7b57b-Zx5kcROWUrojQ9dLE?authuser=0&hl=fr&rclk=1
5,Le Christine,Française,"4,6 (1 762)",8105,+33 1 40 51 71 64,lechristine.becsparisiens.fr,,Paris,https://www.google.com/maps/place/Le+Christine/data=!4m7!3m6!1s0x47e671df183d8b19:0xa148052b22b91cb1!8m2!3d48.8543056!4d2.3402167!16s%2Fg%2F1tg9gwcp!19sChIJGYs9GN9x5kcRsRy5IisFSKE?authuser=0&hl=fr&rclk=1
6,Restaurant H,Restaurant,"4,7 (564)",2651,+33 1 43 48 80 96,restauranth.com,13 Rue Jean Beausire,Paris,https://www.google.com/maps/place/Restaurant+H/data=!4m7!3m6!1s0x47e672001579e543:0x6840c63de8dddf45!8m2!3d48.8545233!4d2.368052!16s%2Fg%2F11cjp74jst!19sChIJQ-V5FQBy5kcRRd_d6D3GQGg?authuser=0&hl=fr&rclk=1
7,Restaurant Bon - Paris 16,Restaurant,"4,2 (1 159)",4868,+33 1 40 72 70 00,restaurantbon.fr,25 Rue de la Pompe,Paris,https://www.google.com/maps/place/Restaurant+Bon+-+Paris+16/data=!4m7!3m6!1s0x47e66555a94cb591:0xfefaefd669a25f98!8m2!3d48.8601784!4d2.2748475!16s%2Fg%2F1wn_5dv8!19sChIJkbVMqVVl5kcRmF-iadbv-v4?authuser=0&hl=fr&rclk=1
8,Le 975 - Restaurant Paris 18,Française,"4,8 (880)",4224,+33 9 54 95 71 58,le975.com,185 Rue Marcadet,Paris,https://www.google.com/maps/place/Le+975+-+Restaurant+Paris+18/data=!4m7!3m6!1s0x47e66fab7e771809:0xccabf3c34ece5558!8m2!3d48.8915292!4d2.3353172!16s%2Fg%2F11b7l2p0kl!19sChIJCRh3fqtv5kcRWFXOTsPzq8w?authuser=0&hl=fr&rclk=1
9,Pur',Cuisine gastronomique,"4,7 (484)",2275,+33 1 58 71 10 60,paris-restaurant-pur.fr,,Paris,https://www.google.com/maps/place/Pur%27/data=!4m7!3m6!1s0x47e66e31a5e25b95:0xff2ab0f8d4015ce9!8m2!3d48.8689056!4d2.3301781!16s%2Fg%2F1vpfhvy4!19sChIJlVvipTFu5kcR6VwB1PiwKv8?authuser=0&hl=fr&rclk=1
10,Chefs à Table,Restaurant,"4,9 (286)",1401,+33 9 81 12 93 11,chefs-a-table.com,15 Rue Trousseau,Paris,https://www.google.com/maps/place/Chefs+%C3%A0+Table/data=!4m7!3m6!1s0x47e6736195913985:0xfc1defbb4c90490e!8m2!3d48.8519115!4d2.3787762!16s%2Fg%2F11nrv_fdhn!19sChIJhTmRlWFz5kcRDkmQTLvvHfw?authuser=0&hl=fr&rclk=1
11,Le Marais Restaurant Paris,Méditerranéenne,"4,5 (1 341)",6034,+33 9 87 36 09 13,privateaser.com,,Paris,https://www.google.com/maps/place/Le+Marais+Restaurant+Paris/data=!4m7!3m6!1s0x47e66ff993d48ed1:0x67566da1302e03c5!8m2!3d48.865138!4d2.3540023!16s%2Fg%2F11ny1kffq3!19sChIJ0Y7Uk_lv5kcRxQMuMKFtVmc?authuser=0&hl=fr&rclk=1
12,Beaurepaire Ambassade du Béarn - Restaurant Paris Terrasse,Française,"4,2 (805)",3381,https://www.google.com/maps/place/Beaurepaire+Ambassade+du+B%C3%A9arn+-+Restaurant+Paris+Terrasse/data=!4m7!3m6!1s0x47e671e153f87ffd:0x951e3e845710b8c!8m2!3d48.8513089!4d2.3491187!16s%2Fg%2F1tfd1qcd!19sChIJ_X_4U-Fx5kcRjAtxRejjUQk?authuser=0&hl=fr&rclk=1,N/A,,Paris,https://www.google.com/maps/place/Beaurepaire+Ambassade+du+B%C3%A9arn+-+Restaurant+Paris+Terrasse/data=!4m7!3m6!1s0x47e671e153f87ffd:0x951e3e845710b8c!8m2!3d48.8513089!4d2.3491187!16s%2Fg%2F1tfd1qcd!19sChIJ_X_4U-Fx5kcRjAtxRejjUQk?authuser=0&hl=fr&rclk=1
13,Baieta - Restaurant Paris,Gastronomie française,"4,4 (637)",2803,+33 1 42 02 59 19,restaurant-baieta-paris.fr,,Paris,https://www.google.com/maps/place/Baieta+-+Restaurant+Paris/data=!4m7!3m6!1s0x47e671e46228bfff:0xab60769f6632e0e1!8m2!3d48.8501166!4d2.3523749!16s%2Fg%2F11gf62fn69!19sChIJ_78oYuRx5kcR4eAyZp92YKs?authuser=0&hl=fr&rclk=1
14,Loulou Restaurant Paris,Italienne,"4,1 (2 888)",11841,+33 1 42 60 41 96,loulou-paris.com,,Paris,https://www.google.com/maps/place/Loulou+Restaurant+Paris/data=!4m7!3m6!1s0x47e66e2f64250cfd:0x3139484128ca8233!8m2!3d48.8630556!4d2.3333333!16s%2Fg%2F11bz09xhzs!19sChIJ_QwlZC9u5kcRM4LKKEFIOTE?authuser=0&hl=fr&rclk=1
15,Le Petit Prince de Paris,Cuisine gastronomique,"4,1 (780)",3198,+33 1 43 54 77 26,lepetitprincedeparis.fr,,Paris,https://www.google.com/maps/place/Le+Petit+Prince+de+Paris/data=!4m7!3m6!1s0x47e671e7ab171bb1:0x56afe1674a74f344!8m2!3d48.848434!4d2.3465274!16s%2Fg%2F1vf9bp39!19sChIJsRsXq-dx5kcRRPN0Smfhr1Y?authuser=0&hl=fr&rclk=1
16,Alliance,Gastronomie française,"4,8 (633)",3038,+33 1 75 51 57 54,restaurant-alliance.fr,,Paris,https://www.google.com/maps/place/Alliance/data=!4m7!3m6!1s0x47e671e493a76779:0x535af33685a58446!8m2!3d48.8499163!4d2.3533113!16s%2Fg%2F11bxdt42h6!19sChIJeWenk-Rx5kcRRoSlhTbzWlM?authuser=0&hl=fr&rclk=1
17,Le Trumilou,Française,"4,4 (884)",3890,+33 1 42 77 63 98,letrumilou.fr,,Paris,https://www.google.com/maps/place/Le+Trumilou/data=!4m7!3m6!1s0x47e671e294861641:0x68cdf6bdaa364996!8m2!3d48.8549403!4d2.3540245!16s%2Fg%2F1tgfvysz!19sChIJQRaGlOJx5kcRlkk2qr32zWg?authuser=0&hl=fr&rclk=1
18,Restaurant Dans le Noir ? Paris,Française,"4,3 (2 409)",10359,+33 1 42 77 98 04,paris.danslenoir.com,51 R. Quincampoix,Paris,https://www.google.com/maps/place/Restaurant+Dans+le+Noir+%3F+Paris/data=!4m7!3m6!1s0x47e66e1bfe36da53:0xf42ae52317d67dac!8m2!3d48.8613455!4d2.3505612!16s%2Fg%2F1tdkfz2l!19sChIJU9o2_htu5kcRrH3WFyPlKvQ?authuser=0&hl=fr&rclk=1
