index,name,activity,celebrity_indice,ic,phone_number,web_site,adresse,town
1,Madinpet -Remise en forme et pension canine,Pension pour chiens,"4,5 (8)",36,+596 696 98 13 24,https://www.instagram.com/madinpet/,3 chemin La Fontane,Fort-de-France
2,Domaine du fort de pile,Pension pour chiens,"4,8 (38)",182,+33 7 79 25 11 45,https://domainefortpile.com/,113 Rte de Coutras,Fort-de-France
3,Kandy Karaïb,Pension pour chats,"5,0 (92)",460,+596 696 97 29 51,http://kandykaraib.com/,"Quartier Bois Neuf, Voltaire",Fort-de-France
4,AMAZONE'DOG - Education et pension canine,Pension pour chiens,"5,0 (17)",85,+596 696 11 01 23,http://amazonedog.com/,+596 696 11 01 23,Fort-de-France
5,Chez Madame Chatouille,Pension pour chats,"5,0 (29)",145,+596 696 38 28 27,N/A,"Mont désert, Bel Event",Fort-de-France
6,Pension Chat Va,Pension pour chats,"5,0 (23)",115,+596 696 95 76 55,https://www.pensionchatva.net/,843 chemin du Glyceria,Fort-de-France
7,Animalia concept,Pension pour chiens,"4,9 (15)",74,+590 690 57 07 65,N/A,Rue du Débarcadere,Fort-de-France
8,Cani Home,Pension pour chiens,"1,0 (1)",1,+596 696 50 85 58,N/A,"Impasse Siwo Gwozey Rue Fleuri Noel, Rte de Moutte",Fort-de-France
9,Rouet Claude,Pension pour chiens,"4,0 (24)",96,+33 2 97 86 95 72,N/A,"lieu dit, 47 Rue du Fort Bloqué",Fort-de-France
10,Pension Ti Chat,Pension pour chats,"4,9 (13)",64,+596 696 25 55 91,https://www.pensiontichat.fr/,14 Chem. Frégate Est 2,Fort-de-France
11,AMAZONE'DOG,Pension pour chiens,"4,5 (2)",9,N/A,N/A,"RW94+93J, VC de Morne Capot Plateau",Fort-de-France
